car_id,buying,maint,doors,persons,lug_boot,safety,car_class
1,vhigh,vhigh,2,2,small,low,unacc
3,vhigh,vhigh,2,2,small,high,unacc
4,vhigh,vhigh,2,2,med,low,unacc
5,vhigh,vhigh,2,2,med,med,unacc
7,vhigh,vhigh,2,2,big,low,unacc
11,vhigh,vhigh,2,4,small,med,unacc
12,vhigh,vhigh,2,4,small,high,unacc
14,vhigh,vhigh,2,4,med,med,unacc
15,vhigh,vhigh,2,4,med,high,unacc
16,vhigh,vhigh,2,4,big,low,unacc
17,vhigh,vhigh,2,4,big,med,unacc
19,vhigh,vhigh,2,more,small,low,unacc
20,vhigh,vhigh,2,more,small,med,unacc
21,vhigh,vhigh,2,more,small,high,unacc
22,vhigh,vhigh,2,more,med,low,unacc
23,vhigh,vhigh,2,more,med,med,unacc
25,vhigh,vhigh,2,more,big,low,unacc
31,vhigh,vhigh,3,2,med,low,unacc
34,vhigh,vhigh,3,2,big,low,unacc
38,vhigh,vhigh,3,4,small,med,unacc
41,vhigh,vhigh,3,4,med,med,unacc
42,vhigh,vhigh,3,4,med,high,unacc
43,vhigh,vhigh,3,4,big,low,unacc
44,vhigh,vhigh,3,4,big,med,unacc
45,vhigh,vhigh,3,4,big,high,unacc
47,vhigh,vhigh,3,more,small,med,unacc
53,vhigh,vhigh,3,more,big,med,unacc
54,vhigh,vhigh,3,more,big,high,unacc
56,vhigh,vhigh,4,2,small,med,unacc
57,vhigh,vhigh,4,2,small,high,unacc
58,vhigh,vhigh,4,2,med,low,unacc
59,vhigh,vhigh,4,2,med,med,unacc
61,vhigh,vhigh,4,2,big,low,unacc
63,vhigh,vhigh,4,2,big,high,unacc
64,vhigh,vhigh,4,4,small,low,unacc
66,vhigh,vhigh,4,4,small,high,unacc
67,vhigh,vhigh,4,4,med,low,unacc
68,vhigh,vhigh,4,4,med,med,unacc
69,vhigh,vhigh,4,4,med,high,unacc
72,vhigh,vhigh,4,4,big,high,unacc
73,vhigh,vhigh,4,more,small,low,unacc
74,vhigh,vhigh,4,more,small,med,unacc
76,vhigh,vhigh,4,more,med,low,unacc
77,vhigh,vhigh,4,more,med,med,unacc
80,vhigh,vhigh,4,more,big,med,unacc
81,vhigh,vhigh,4,more,big,high,unacc
85,vhigh,vhigh,5more,2,med,low,unacc
86,vhigh,vhigh,5more,2,med,med,unacc
88,vhigh,vhigh,5more,2,big,low,unacc
93,vhigh,vhigh,5more,4,small,high,unacc
95,vhigh,vhigh,5more,4,med,med,unacc
96,vhigh,vhigh,5more,4,med,high,unacc
97,vhigh,vhigh,5more,4,big,low,unacc
102,vhigh,vhigh,5more,more,small,high,unacc
104,vhigh,vhigh,5more,more,med,med,unacc
106,vhigh,vhigh,5more,more,big,low,unacc
108,vhigh,vhigh,5more,more,big,high,unacc
109,vhigh,high,2,2,small,low,unacc
110,vhigh,high,2,2,small,med,unacc
111,vhigh,high,2,2,small,high,unacc
113,vhigh,high,2,2,med,med,unacc
114,vhigh,high,2,2,med,high,unacc
115,vhigh,high,2,2,big,low,unacc
116,vhigh,high,2,2,big,med,unacc
117,vhigh,high,2,2,big,high,unacc
118,vhigh,high,2,4,small,low,unacc
119,vhigh,high,2,4,small,med,unacc
121,vhigh,high,2,4,med,low,unacc
123,vhigh,high,2,4,med,high,unacc
125,vhigh,high,2,4,big,med,unacc
127,vhigh,high,2,more,small,low,unacc
